Name,Market Cap,Bloomberg Description,CEO,CFO
CannTrust Holdings Inc.,"$762,943,000 ",https://www.bloomberg.com/quote/TRST:CN,,
OrganiGram Holdings Inc,"$732,040,000 ",https://www.bloomberg.com/quote/OGI:CN,,https://www.linkedin.com/in/paolo-deluca/
The Green Organic Dutchman,"$681,443,000 ",https://www.bloomberg.com/quote/TGOD:CN,https://www.linkedin.com/in/brianathaide/,https://www.linkedin.com/in/sean-bovingdon-8999a228/
Canopy Rivers Inc.,"$608,000,000 ",https://www.bloomberg.com/quote/RIV:CN,,https://www.linkedin.com/in/eddie-lucarelli-a4a18556/
TerrAscend Corp.,"$548,670,000 ",https://www.bloomberg.com/quote/TER:CN,https://www.linkedin.com/in/michael-nashat-1203059/,
 Auxly Cannabis Group Inc.,"$507,960,000 ",https://www.bloomberg.com/quote/XLY:CN,,
The Supreme Cannabis Company Inc.,"$478,140,000 ",https://www.bloomberg.com/quote/FIRE:CN,,https://www.linkedin.com/in/dimitre-naoumov-cpa-ca-99049926/
Emerald Health Therapeutics Inc.,"$429,930,000 ",https://www.bloomberg.com/quote/EMH:CN,https://www.linkedin.com/in/bin-huang-6b53948/,
Namaste Technologies Inc.,"$389,870,000 ",https://www.bloomberg.com/quote/N:CN,https://www.linkedin.com/in/sean-dollinger-88936945/,
 Vivo Cannabis Inc.,"$256,490,000 ",https://www.bloomberg.com/quote/VIVO:CN,https://www.linkedin.com/in/barryfishman/,https://www.linkedin.com/in/michael-bumby-240851a/
Wayland Group,"$237,440,000 ",https://www.bloomberg.com/quote/WAYL:CN,https://www.linkedin.com/in/ben-ward-740bb427/,
Newstrike Brands Ltd,"$230,987,000 ",https://www.bloomberg.com/quote/HIP:CN,https://www.linkedin.com/in/jay-wilgar-49894820/,
 Aphria Inc,"$202,000,000 ",https://www.bloomberg.com/quote/APHA:CN,https://www.linkedin.com/in/vicneufeld/,
Sunniva Inc - Ordinary Shares,"$183,580,000 ",https://www.bloomberg.com/quote/SNN:CN,https://www.linkedin.com/in/leith-pedersen-76814383/,
Isodiol International Inc.,"$66,810,000 ",https://www.bloomberg.com/quote/ISOL:CN,https://www.linkedin.com/in/marcos-agramont-49353b93/,
